comparison,ranking_basis,rank,reference_value,compared_value,comparison_delta_abs,comparison_delta_pct,category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
v2_vs_v1,abs,22,273397665.96,269034803.98,-4362861.9799999595,-1.5957934259169124,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_aep,,total_damage_eur,eur,Eau AEP,267828018.75,273397665.96,269034803.98,5569647.209999979,2.0795610690750324,1206785.230000019,0.4505821443298934,-4362861.9799999595,-1.5957934259169124,
v2_vs_v1,abs,23,587408211.24,591708762.05,4300550.809999943,0.7321230326218316,portfolio,portfolio_results,storm_cmcc,all,,,,pml_50_eur,eur,,586927891.42,587408211.24,591708762.05,480319.82000005245,0.08183625740429162,4780870.629999995,0.8145584321156158,4300550.809999943,0.7321230326218316,
v2_vs_v1,abs,24,587408211.24,591708762.05,4300550.809999943,0.7321230326218316,scenario_summary,scientific_web_summary.portfolio_summary,storm_cmcc,all,,,,rp50_eur,eur,,586927891.42,587408211.24,591708762.05,480319.82000005245,0.08183625740429162,4780870.629999995,0.8145584321156158,4300550.809999943,0.7321230326218316,
v2_vs_v1,abs,25,111996150.39,116241676.53,4245526.140000001,3.7907786341012293,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,blocking_ouvrage_eur,eur,Eau EU,77732541.34,111996150.39,116241676.53,34263609.05,44.07884839392027,38509135.19,49.540558595096094,4245526.140000001,3.7907786341012293,
v2_vs_v1,abs,26,111996150.39,116241676.53,4245526.140000001,3.7907786341012293,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,indirect_damage_eur,eur,Eau EU,77732541.34,111996150.39,116241676.53,34263609.05,44.07884839392027,38509135.19,49.540558595096094,4245526.140000001,3.7907786341012293,
v2_vs_v1,abs,27,45506583.63,49479288.62,3972704.9899999946,8.729956575736015,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,damage_eur,eur,Elec BT aerien,54868092.36,45506583.63,49479288.62,-9361508.729999997,-17.06184473952066,-5388803.740000002,-9.821379800564296,3972704.9899999946,8.729956575736015,
v2_vs_v1,abs,28,45506583.63,49479288.62,3972704.9899999946,8.729956575736015,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,direct_damage_eur,eur,Elec BT aerien,54868092.36,45506583.63,49479288.62,-9361508.729999997,-17.06184473952066,-5388803.740000002,-9.821379800564296,3972704.9899999946,8.729956575736015,
v2_vs_v1,abs,29,45506583.63,49479288.62,3972704.9899999946,8.729956575736015,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,total_damage_eur,eur,Elec BT aerien,54868092.36,45506583.63,49479288.62,-9361508.729999997,-17.06184473952066,-5388803.740000002,-9.821379800564296,3972704.9899999946,8.729956575736015,
v2_vs_v1,abs,30,221075506.24,224958212.07,3882705.8299999833,1.7562804202220894,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,blocking_ouvrage_eur,eur,Eau AEP,218906378.62,221075506.24,224958212.07,2169127.620000005,0.9908928344958817,6051833.449999988,2.764576111555606,3882705.8299999833,1.7562804202220894,
v2_vs_v1,abs,31,221075506.24,224958212.07,3882705.8299999833,1.7562804202220894,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,indirect_damage_eur,eur,Eau AEP,218906378.62,221075506.24,224958212.07,2169127.620000005,0.9908928344958817,6051833.449999988,2.764576111555606,3882705.8299999833,1.7562804202220894,
v2_vs_v1,abs,32,40353771.88,44100002.57,3746230.6899999976,9.283470950720945,scenario_component_damage,scientific_graph_inputs.state_damage_tables.damage_components_eur,storm,rp100,,elec_bt_aerien,wind,damage_component_eur,eur,Elec BT aerien,50422142.63,40353771.88,44100002.57,-10068370.75,-19.968153324784645,-6322140.060000002,-12.538420087365498,3746230.6899999976,9.283470950720945,
v2_vs_v1,abs,33,114523656.63,117945949.71,3422293.079999998,2.9882848493535725,scenario_component_damage,scientific_graph_inputs.state_damage_tables.damage_components_eur,storm,rp100,,eau_eu,wind,damage_component_eur,eur,Eau EU,84790556.37,114523656.63,117945949.71,29733100.25999999,35.06652336405702,33155393.33999999,39.10269581829374,3422293.079999998,2.9882848493535725,
v2_vs_v1,abs,34,48978834.2,45620886.23,-3357947.9700000063,-6.855916488922895,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,direct_damage_eur,eur,Eau AEP,45693697.47,48978834.2,45620886.23,3285136.730000004,7.189474505005525,-72811.24000000209,-0.15934635197295205,-3357947.9700000063,-6.855916488922895,
v2_vs_v1,abs,35,413742671.36,417013673.46,3271002.0999999642,0.7905885291570145,portfolio,portfolio_results,storm,all,,,,tvar_95_eur,eur,,409421130.62,413742671.36,417013673.46,4321540.74000001,1.0555245972419052,7592542.839999974,1.854457982787145,3271002.0999999642,0.7905885291570145,
v2_vs_v1,abs,36,129147291.93,132332910.37,3185618.4399999976,2.466655237127741,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,damage_eur,eur,Eau EU,92266925.51,129147291.93,132332910.37,36880366.42,39.97138326236183,40065984.86,43.42399471808302,3185618.4399999976,2.466655237127741,
v2_vs_v1,abs,37,129147291.93,132332910.37,3185618.4399999976,2.466655237127741,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,total_damage_eur,eur,Eau EU,92266925.51,129147291.93,132332910.37,36880366.42,39.97138326236183,40065984.86,43.42399471808302,3185618.4399999976,2.466655237127741,
v2_vs_v1,abs,38,410566723.47,413589973.81,3023250.339999974,0.7363602959461184,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp1000,,eau_aep,,blocking_ouvrage_eur,eur,Eau AEP,414411063.39,410566723.47,413589973.81,-3844339.919999957,-0.9276634384594288,-821089.5799999833,-0.19813408775413419,3023250.339999974,0.7363602959461184,
