sample_key,sample_label,provider,row_type,bucket,selection_method,selection_score_kind,sample_size,population_track_count,selected_track_count,seed,score,sample_weight_min,sample_weight_max,sample_weight_mean,sample_weight_sum,frequency_annual_sum,selected_count,selected_share_pct
sample_v2,Sample V2 5000 tracks,storm,overview,all,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,1.0,13.67391304,4.2643999968060005,21321.99998403,2.1322,5000,100.0
sample_v2,Sample V2 5000 tracks,storm,category,0,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,6891.093695020052,0.6891093698225289,878,17.560000000000002
sample_v2,Sample V2 5000 tracks,storm,category,1,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,4531.453646110043,0.4531453649857587,948,18.96
sample_v2,Sample V2 5000 tracks,storm,category,2,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,2359.361052709996,0.23593610549218055,549,10.979999999999999
sample_v2,Sample V2 5000 tracks,storm,category,3,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,2975.801965950035,0.2975801968378267,907,18.14
sample_v2,Sample V2 5000 tracks,storm,category,4,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,3670.579041700001,0.36705790451392,1316,26.32
sample_v2,Sample V2 5000 tracks,storm,category,5,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,893.7105825399974,0.08937105834778519,402,8.04
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_001_010,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,10.0,0.0010000000000000002,10,0.2
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_011_020,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,10.0,0.0010000000000000002,10,0.2
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_021_050,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,30.0,0.0029999999999999988,30,0.6
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_051_100,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,50.0,0.005,50,1.0
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_1001_2000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,999.9999968400014,0.10000000000000057,699,13.98
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_101_200,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,100.0,0.009999999999999995,100,2.0
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_2001_5000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,2999.9999938500287,0.30000000000000476,1395,27.900000000000002
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_201_500,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,299.99999895999906,0.0299999999999999,296,5.92
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_5001_10000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,4999.999996150034,0.49999999999999006,1151,23.02
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_501_1000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,500.0000011099967,0.049999999999999815,431,8.62
sample_v2,Sample V2 5000 tracks,storm,stratum,rank_gt_10000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,21322,5000,240716,2.599585948433038,,,,11321.99999712007,1.1322000000000063,828,16.56
sample_v2,Sample V2 5000 tracks,storm_cmcc,overview,all,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,1.0,13.67001115,4.452399999286,22261.99999643,2.2262,5000,100.0
sample_v2,Sample V2 5000 tracks,storm_cmcc,category,0,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,6397.9313086300635,0.6397931309159094,823,16.46
sample_v2,Sample V2 5000 tracks,storm_cmcc,category,1,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,5917.384908180047,0.5917384909317769,1123,22.46
sample_v2,Sample V2 5000 tracks,storm_cmcc,category,2,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,2805.757077699998,0.28057570789352987,676,13.52
sample_v2,Sample V2 5000 tracks,storm_cmcc,category,3,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,2989.738074400001,0.29897380750249286,797,15.939999999999998
sample_v2,Sample V2 5000 tracks,storm_cmcc,category,4,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,2788.0423027200077,0.2788042302659409,977,19.54
sample_v2,Sample V2 5000 tracks,storm_cmcc,category,5,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,1363.1463247999964,0.13631463249035433,604,12.08
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_001_010,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,10.0,0.0010000000000000002,10,0.2
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_011_020,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,10.0,0.0010000000000000002,10,0.2
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_021_050,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,30.0,0.0029999999999999988,30,0.6
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_051_100,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,50.0,0.005,50,1.0
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_1001_2000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,999.9999972999831,0.1000000000000008,661,13.22
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_101_200,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,100.0,0.009999999999999995,100,2.0
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_2001_5000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,3000.000000360082,0.3000000000000004,1364,27.279999999999998
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_201_500,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,300.00000096000065,0.02999999999999989,288,5.76
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_5001_10000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,4999.999995249918,0.5000000000000111,1181,23.62
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_501_1000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,500.0000010100028,0.04999999999999972,409,8.18
sample_v2,Sample V2 5000 tracks,storm_cmcc,stratum,rank_gt_10000,seeded_stratified_intensity_distance_score_mass,intensity_distance_weighted_mps,5000,22262,5000,257907,2.7018039712624895,,,,12262.00000154995,1.226200000000016,897,17.94
