category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,indirect_damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,total_damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,blocking_ouvrage_eur,eur,Eau AEP,218906378.62,221075506.24,224958212.07,2169127.620000005,0.9908928344958817,6051833.449999988,2.764576111555606,3882705.8299999833,1.7562804202220894,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,damage_eur,eur,Eau AEP,264600076.09,270054340.44,270579098.3,5454264.349999994,2.0613238025467546,5979022.210000008,2.2596449322132197,524757.8600000143,0.19431565482155383,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,direct_damage_eur,eur,Eau AEP,45693697.47,48978834.2,45620886.23,3285136.730000004,7.189474505005525,-72811.24000000209,-0.15934635197295205,-3357947.9700000063,-6.855916488922895,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,dysfunction_eur,eur,Eau AEP,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,exposure_eur,eur,Eau AEP,2466350827.1,2466350827.1,2466350827.1,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,indirect_damage_eur,eur,Eau AEP,218906378.62,221075506.24,224958212.07,2169127.620000005,0.9908928344958817,6051833.449999988,2.764576111555606,3882705.8299999833,1.7562804202220894,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_aep,,total_damage_eur,eur,Eau AEP,264600076.09,270054340.44,270579098.3,5454264.349999994,2.0613238025467546,5979022.210000008,2.2596449322132197,524757.8600000143,0.19431565482155383,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,blocking_ouvrage_eur,eur,Eau EU,77732541.34,111996150.39,116241676.53,34263609.05,44.07884839392027,38509135.19,49.540558595096094,4245526.140000001,3.7907786341012293,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,damage_eur,eur,Eau EU,92266925.51,129147291.93,132332910.37,36880366.42,39.97138326236183,40065984.86,43.42399471808302,3185618.4399999976,2.466655237127741,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,direct_damage_eur,eur,Eau EU,14534384.17,17151141.54,16091233.84,2616757.369999999,18.00390948383745,1556849.67,10.711493874046953,-1059907.6999999993,-6.179808484047991,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,dysfunction_eur,eur,Eau EU,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,exposure_eur,eur,Eau EU,784628997.21,784628997.21,784628997.21,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,indirect_damage_eur,eur,Eau EU,77732541.34,111996150.39,116241676.53,34263609.05,44.07884839392027,38509135.19,49.540558595096094,4245526.140000001,3.7907786341012293,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,total_damage_eur,eur,Eau EU,92266925.51,129147291.93,132332910.37,36880366.42,39.97138326236183,40065984.86,43.42399471808302,3185618.4399999976,2.466655237127741,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,blocking_ouvrage_eur,eur,Elec BT aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
